Customer_ID,Age,Gender,Marital_Status,Education_Level,Employment_Status,Account_Tenure_Months,Account_Type,Number_of_Products,Average_Balance,Monthly_Transactions,Online_Banking_Usage,Mobile_Banking_Usage,Number_of_Complaints,Complaint_Resolution_Rate,Customer_Support_Calls,Email_Opt_In,Credit_Card_Holder,Loan_Account_Holder,Churn
CUST2888,45,Female,Single,University,Employed,70,Savings,1,263587,12,7,9,1,0.94,2,1,0,0,0
CUST2074,28,Male,Single,Primary,Self-employed,128,Savings,2,18623,12,6,9,0,0.9,2,1,0,1,0
CUST2567,35,Male,Single,University,Employed,127,Savings,3,13824,15,8,11,1,0.85,1,1,0,1,0
CUST1450,34,Female,Married,University,Employed,17,Savings,2,79960,30,7,8,0,0.91,1,0,0,0,1
CUST1673,54,Female,Married,Primary,Self-employed,79,Current,4,24144,23,8,8,0,1,0,1,0,0,0
CUST1790,48,Female,Married,Primary,Self-employed,127,Current,3,36237,17,5,16,0,0.58,1,0,0,1,0
CUST0211,36,Female,Married,Secondary,Unemployed,17,Current,1,606711,16,5,7,1,0.5,2,0,1,0,0
CUST2980,36,Male,Single,Secondary,Employed,93,Fixed Deposit,2,294265,12,6,7,1,0.65,1,1,0,1,0
CUST1614,36,Male,Single,University,Employed,167,Current,1,197116,19,6,9,0,0.67,0,1,0,1,0
CUST2641,21,Male,Married,University,Employed,36,Savings,1,136548,11,8,11,0,0.53,1,1,1,0,1
CUST0555,18,Male,Married,None,Self-employed,152,Savings,1,365406,15,3,12,1,0.63,0,1,0,1,0
CUST1895,33,Male,Married,University,Employed,12,Savings,1,42322,13,7,7,1,0.65,1,1,0,0,1
CUST0373,33,Male,Married,University,Self-employed,119,Savings,2,163723,16,2,15,0,0.63,0,1,0,0,0
CUST2892,28,Female,Divorced,None,Employed,130,Current,1,103263,18,4,13,1,0.55,0,0,0,0,0
CUST1167,26,Male,Single,Primary,Employed,22,Savings,3,217653,11,6,14,0,0.69,0,0,0,1,0
CUST2592,34,Female,Married,Secondary,Employed,132,Current,1,108006,20,8,8,1,0.95,0,0,1,0,0
CUST2538,53,Male,Single,Primary,Employed,147,Fixed Deposit,1,29903,11,10,10,0,0.96,0,1,0,0,0
CUST1799,31,Male,Single,Secondary,Employed,11,Savings,1,9641,20,5,13,1,0.66,3,1,0,0,0
CUST0905,46,Female,Married,University,Unemployed,80,Savings,1,40881,15,9,8,0,0.59,0,1,0,0,0
CUST2985,33,Female,Married,Secondary,Unemployed,54,Current,1,62712,16,12,8,0,0.98,1,1,0,0,1
CUST1866,38,Female,Married,Primary,Employed,51,Current,2,248446,16,6,5,0,0.97,1,1,0,1,0
CUST1047,57,Male,Single,Secondary,Self-employed,93,Savings,4,44810,19,8,9,0,0.5,0,1,1,0,0
CUST2971,38,Male,Married,Primary,Employed,111,Savings,1,44224,19,8,10,0,0.55,0,1,0,0,0
CUST0309,29,Female,Single,Primary,Employed,137,Savings,2,1638,12,6,14,0,0.68,3,1,1,0,0
CUST1248,18,Male,Single,University,Unemployed,59,Current,3,47854,7,6,9,0,0.93,2,1,0,1,0
CUST0166,30,Female,Married,University,Employed,127,Savings,1,456610,14,7,18,1,0.78,0,1,0,0,0
CUST0217,45,Female,Single,Primary,Employed,39,Current,2,11079,12,3,11,0,0.68,1,1,0,0,0
CUST1314,30,Female,Married,Primary,Employed,167,Current,2,111938,19,10,6,0,0.57,1,1,1,0,0
CUST2629,43,Female,Married,Secondary,Employed,132,Savings,3,478689,14,5,11,0,0.73,1,1,0,1,0
CUST2120,33,Male,Married,University,Self-employed,58,Savings,3,125388,16,3,13,0,0.96,1,1,0,0,0
CUST0588,21,Female,Single,University,Self-employed,88,Savings,2,302307,18,7,8,0,0.73,1,1,0,0,0
CUST1599,18,Male,Married,University,Unemployed,46,Fixed Deposit,1,53725,18,9,7,1,0.98,1,1,0,0,0
CUST0141,25,Female,Married,Secondary,Employed,17,Current,4,28852,19,8,9,0,0.85,2,0,0,0,1
CUST0722,35,Male,Divorced,Secondary,Unemployed,127,Savings,1,111817,10,10,11,0,0.64,0,0,0,0,0
CUST2907,30,Male,Divorced,Secondary,Employed,7,Current,3,76791,5,8,8,0,0.61,1,1,0,0,1
CUST0153,27,Male,Divorced,Secondary,Employed,61,Current,1,35299,12,11,7,0,0.75,0,0,0,0,1
CUST0294,36,Male,Married,Primary,Self-employed,43,Current,1,303308,17,6,9,1,0.97,1,0,1,0,0
CUST0277,24,Male,Married,Primary,Employed,25,Savings,1,210569,15,16,6,2,0.98,3,0,0,0,1
CUST1487,45,Female,Married,Primary,Employed,55,Current,1,64327,13,9,6,0,0.81,0,1,0,1,0
CUST0041,29,Male,Married,Primary,Employed,73,Current,3,31953,12,6,13,0,0.82,1,1,1,0,0
CUST2479,33,Female,Married,University,Self-employed,156,Savings,1,575693,9,9,8,1,0.58,2,0,0,1,0
CUST2138,26,Female,Single,Secondary,Employed,122,Savings,1,123375,12,7,19,0,0.68,1,0,0,0,0
CUST0316,40,Male,Married,None,Employed,132,Savings,2,88413,11,11,12,0,0.89,0,1,0,0,0
CUST2576,39,Female,Single,None,Self-employed,67,Savings,1,47513,16,10,10,1,0.69,1,1,1,0,0
CUST2822,31,Female,Married,Secondary,Employed,115,Savings,3,165448,16,5,10,0,0.86,1,1,0,0,0
CUST2795,18,Female,Single,Secondary,Employed,124,Savings,1,93100,9,10,8,0,0.7,1,1,1,0,0
CUST2504,37,Male,Divorced,None,Employed,40,Fixed Deposit,3,416191,8,9,10,0,0.85,1,1,1,0,0
CUST2646,39,Female,Married,Secondary,Self-employed,159,Current,1,68237,7,6,12,1,0.91,2,1,1,0,0
CUST1183,40,Female,Married,Secondary,Employed,22,Savings,1,103500,16,5,8,1,0.64,2,1,0,0,1
CUST0752,45,Male,Married,Primary,Self-employed,95,Current,2,113228,14,6,5,0,0.54,0,1,1,0,0
CUST0374,27,Female,Married,Primary,Employed,140,Savings,3,129222,15,16,13,0,0.77,3,1,0,0,1
CUST1842,28,Female,Single,Primary,Employed,101,Savings,3,50948,19,12,9,0,0.96,1,1,1,0,0
CUST2033,22,Male,Married,Secondary,Self-employed,48,Current,3,24871,12,4,9,0,0.7,0,0,0,0,1
CUST2082,44,Male,Single,Secondary,Employed,95,Savings,3,152607,14,11,8,1,0.53,0,0,0,1,1
CUST0516,30,Male,Single,Secondary,Employed,169,Current,2,241694,11,6,10,0,0.78,1,1,0,0,0
CUST0013,27,Male,Single,Primary,Employed,25,Current,2,489601,16,9,14,0,0.93,2,0,0,0,1
CUST2117,35,Male,Single,University,Self-employed,164,Current,1,90844,17,7,11,0,0.54,2,0,1,0,0
CUST2038,33,Male,Married,University,Unemployed,143,Savings,4,333651,15,6,10,0,0.89,0,1,0,0,0
CUST1919,29,Female,Married,None,Self-employed,157,Savings,3,66472,15,8,5,0,0.64,3,1,0,0,0
CUST0755,55,Female,Divorced,Primary,Employed,62,Savings,1,255962,16,4,10,0,0.88,1,1,0,0,0
CUST2457,28,Female,Single,University,Employed,56,Savings,4,485037,9,5,12,0,0.63,4,1,0,0,1
CUST1332,46,Male,Married,University,Employed,13,Savings,1,195149,11,11,16,0,0.75,0,1,0,0,0
CUST1113,41,Male,Married,Secondary,Employed,92,Savings,1,29302,8,15,7,0,0.61,0,1,1,0,0
CUST2976,53,Female,Married,University,Employed,19,Savings,1,523580,13,6,13,0,0.51,1,1,0,0,0
CUST1006,36,Female,Single,University,Employed,147,Savings,2,454218,17,4,6,0,0.97,3,1,1,0,0
CUST2585,35,Male,Single,Secondary,Employed,6,Savings,3,30429,12,6,8,0,0.59,0,1,0,1,1
CUST2339,29,Female,Married,Primary,Employed,147,Current,1,120810,13,5,8,0,0.74,0,0,1,0,0
CUST1448,23,Female,Married,Secondary,Self-employed,38,Current,1,39957,14,8,3,1,0.99,1,0,1,0,0
CUST0671,32,Female,Single,Secondary,Employed,3,Current,1,262942,9,9,7,0,0.52,0,1,0,0,1
CUST2169,29,Male,Married,Secondary,Employed,97,Current,1,135113,13,7,8,0,0.55,1,1,0,0,0
CUST1134,30,Male,Married,Secondary,Self-employed,155,Savings,1,253361,12,9,10,0,0.86,2,1,1,0,1
CUST1088,39,Female,Married,Secondary,Self-employed,36,Savings,3,77383,16,8,11,0,0.98,1,1,0,0,1
CUST1507,31,Male,Married,Secondary,Self-employed,58,Current,3,8519,14,11,16,0,0.76,0,0,0,1,0
CUST1934,18,Female,Married,None,Employed,177,Savings,1,427830,10,9,16,0,0.84,1,1,0,0,0
CUST1501,33,Female,Single,Secondary,Employed,146,Savings,2,161950,14,4,5,1,0.67,0,1,1,1,0
CUST0480,37,Male,Single,Primary,Employed,136,Current,1,5031,11,8,12,0,0.62,1,1,0,0,0
CUST2115,34,Female,Married,Secondary,Employed,22,Fixed Deposit,2,116763,17,13,8,0,0.93,0,1,0,0,0
CUST1914,37,Male,Divorced,Primary,Employed,76,Savings,3,94491,15,5,10,0,0.76,2,1,0,0,0
CUST1871,30,Female,Married,Secondary,Employed,124,Savings,1,83789,19,13,11,0,0.57,0,0,0,0,0
CUST1109,45,Female,Married,University,Employed,121,Current,1,158443,20,4,13,0,0.95,0,0,1,0,0
CUST0165,32,Female,Divorced,Primary,Employed,20,Current,3,254617,13,6,6,0,0.79,1,1,1,1,1
CUST1075,30,Female,Single,Primary,Employed,163,Savings,2,48931,12,8,8,0,0.66,3,1,0,1,0
CUST1386,44,Female,Single,Primary,Unemployed,77,Savings,2,362864,12,8,7,1,0.94,1,1,0,0,0
CUST2284,47,Female,Divorced,Secondary,Employed,90,Current,2,161433,10,12,9,0,0.67,2,0,0,0,0
CUST0610,31,Male,Married,Secondary,Unemployed,173,Fixed Deposit,1,51193,21,8,9,0,0.6,0,0,0,0,0
CUST2378,34,Male,Married,Primary,Employed,83,Savings,2,228608,12,7,13,1,0.53,0,1,0,0,0
CUST2774,28,Female,Married,None,Unemployed,41,Savings,1,7736,13,8,2,0,0.54,0,1,1,1,1
CUST0127,36,Male,Married,Primary,Employed,71,Current,4,74943,15,9,9,0,0.64,0,0,0,0,1
CUST2260,52,Male,Single,University,Employed,38,Savings,3,277916,14,7,10,0,0.75,1,1,0,0,1
CUST0686,44,Male,Single,Primary,Self-employed,7,Fixed Deposit,3,224009,16,4,8,0,0.7,1,1,0,1,1
CUST1982,41,Female,Married,None,Employed,61,Fixed Deposit,1,119660,17,6,5,0,0.58,0,1,0,0,0
CUST2862,40,Female,Single,Primary,Self-employed,74,Savings,3,142922,14,10,12,0,0.99,2,1,0,0,1
CUST0931,33,Female,Single,None,Self-employed,34,Savings,3,63805,16,6,12,0,0.92,2,1,0,0,1
CUST2926,18,Male,Single,Secondary,Employed,2,Current,2,101016,10,5,13,2,0.81,1,0,0,0,0
CUST2291,42,Male,Married,Secondary,Unemployed,56,Current,1,217290,21,7,10,0,0.5,0,1,0,0,0
CUST0847,36,Male,Single,Primary,Self-employed,52,Fixed Deposit,4,221043,18,0,14,1,0.52,2,1,0,0,0
CUST0983,30,Female,Single,None,Self-employed,143,Savings,1,131287,15,4,10,0,0.53,0,1,0,0,0
CUST0619,48,Male,Married,None,Employed,55,Savings,1,71232,11,10,9,0,0.9,0,1,1,0,0
CUST1927,43,Female,Divorced,Secondary,Employed,50,Current,2,102141,19,5,16,1,0.59,2,0,1,0,0
CUST0477,47,Male,Single,None,Unemployed,173,Savings,2,53074,17,8,14,0,0.52,3,1,1,0,0
CUST1999,42,Female,Married,Secondary,Employed,141,Current,4,72264,12,8,8,0,0.61,1,0,0,0,0
CUST0151,27,Female,Single,Secondary,Self-employed,2,Fixed Deposit,4,401537,15,14,8,0,0.6,1,0,1,0,1
CUST2714,32,Male,Divorced,Primary,Self-employed,54,Current,1,4051,9,4,12,0,1,2,1,1,0,1
CUST1638,18,Female,Single,Secondary,Self-employed,60,Savings,1,848139,13,5,6,0,0.83,1,1,0,0,0
CUST2815,33,Female,Married,Secondary,Employed,169,Current,2,301527,12,9,12,0,0.54,2,1,0,0,0
CUST2208,18,Male,Single,Primary,Self-employed,43,Current,3,155271,22,12,9,0,0.58,1,1,0,0,0
CUST2203,36,Female,Single,Secondary,Employed,15,Savings,2,123252,13,13,9,0,0.74,0,1,0,0,0
CUST2474,37,Female,Single,Primary,Employed,29,Savings,1,221311,14,4,12,0,0.86,0,1,0,0,0
CUST1029,29,Female,Married,University,Self-employed,135,Savings,4,118477,20,4,11,0,0.81,0,1,0,0,0
CUST0326,35,Male,Single,Primary,Unemployed,112,Current,1,73134,21,5,8,0,0.63,0,0,0,0,0
CUST2837,19,Female,Married,University,Self-employed,23,Savings,1,153356,17,6,7,0,0.53,1,1,1,0,0
CUST1956,39,Female,Single,University,Employed,94,Savings,2,95076,20,9,7,0,0.61,2,0,1,0,0
CUST1262,54,Female,Single,Secondary,Unemployed,122,Savings,2,102954,17,6,15,0,0.54,0,1,0,1,0
CUST1788,41,Female,Married,Secondary,Employed,70,Savings,1,235051,12,13,8,0,0.79,2,0,0,1,0
CUST1363,52,Male,Single,None,Employed,13,Current,4,33271,12,11,7,0,0.69,1,0,0,1,1
CUST0985,34,Male,Married,Secondary,Employed,50,Savings,2,143786,16,6,15,0,0.79,0,1,0,1,0
CUST2087,32,Female,Single,Primary,Employed,62,Current,3,12948,14,3,16,0,0.71,3,1,0,0,0
CUST2870,46,Male,Married,None,Employed,177,Current,2,67697,18,2,6,0,0.74,1,1,0,1,0
CUST0986,40,Male,Single,Primary,Self-employed,114,Savings,4,188411,20,5,11,1,0.51,0,1,0,0,0
CUST0137,43,Female,Married,Secondary,Unemployed,173,Current,1,46469,11,7,10,0,0.78,1,0,0,0,1
CUST2503,34,Female,Single,Primary,Employed,79,Current,2,283663,14,4,10,0,0.69,1,1,1,0,0
CUST1762,35,Male,Married,Primary,Employed,94,Savings,2,131644,9,4,12,0,0.99,0,1,0,0,0
CUST1584,38,Male,Married,Primary,Self-employed,60,Current,2,103817,14,12,10,0,0.71,0,0,1,1,0
CUST0589,35,Male,Married,Primary,Unemployed,123,Savings,2,51237,18,9,14,0,0.63,0,0,0,0,0
CUST1903,43,Female,Single,University,Employed,49,Current,2,44153,20,10,12,0,0.61,1,1,1,0,0
CUST2087,31,Male,Single,University,Employed,96,Fixed Deposit,1,4788,17,7,10,0,0.95,1,1,0,1,0
CUST2244,26,Female,Married,Secondary,Employed,154,Savings,1,120930,17,2,13,0,0.91,0,1,0,0,0
CUST1793,50,Male,Married,None,Self-employed,169,Savings,1,138828,18,6,6,0,0.71,1,0,1,0,0
CUST0680,28,Female,Married,Primary,Employed,156,Current,1,323211,12,5,12,1,0.52,1,1,0,0,0
CUST1630,38,Female,Married,Primary,Employed,60,Savings,1,85386,13,6,5,0,0.53,2,1,1,0,1
CUST2548,18,Male,Married,None,Employed,138,Savings,2,51652,14,7,11,1,0.92,0,1,0,0,0
CUST0985,29,Female,Married,Secondary,Self-employed,42,Savings,1,187677,12,11,14,0,0.96,0,1,0,0,0
CUST1808,59,Female,Married,None,Self-employed,63,Savings,1,3851,12,11,8,0,0.69,0,1,0,0,0
CUST0344,36,Female,Married,Secondary,Employed,96,Current,2,80664,11,5,8,0,0.6,1,1,0,0,1
CUST2507,43,Female,Single,Secondary,Self-employed,17,Savings,2,34926,22,2,4,0,0.51,1,1,1,0,1
CUST2992,40,Male,Married,University,Self-employed,81,Savings,1,185748,7,5,9,1,0.61,2,1,1,0,0
CUST2920,21,Female,Married,Secondary,Employed,140,Savings,1,157518,17,9,13,0,0.73,0,1,1,0,0
CUST0195,44,Male,Single,Primary,Self-employed,180,Fixed Deposit,3,1537,13,5,8,0,0.52,0,1,0,1,0
CUST1885,25,Male,Married,Secondary,Employed,14,Current,2,263211,13,10,5,0,0.94,1,1,0,0,1
CUST0876,42,Male,Single,None,Employed,7,Savings,1,243395,19,11,13,1,0.86,0,1,0,0,1
CUST2582,23,Male,Married,University,Unemployed,75,Savings,3,1863,8,10,8,0,0.8,1,1,0,0,0
CUST2225,35,Female,Married,Primary,Employed,65,Savings,2,21367,12,8,11,0,0.85,0,1,1,0,0
CUST0554,40,Male,Married,University,Self-employed,116,Current,3,47351,16,4,12,0,0.99,1,1,0,0,0
CUST2875,32,Male,Single,Primary,Employed,99,Savings,2,52014,19,4,10,0,0.61,2,1,0,1,1
CUST2132,34,Male,Single,University,Employed,115,Savings,1,41582,19,5,11,0,0.72,1,1,0,0,0
CUST1547,41,Female,Married,University,Self-employed,167,Savings,2,119639,19,9,10,1,0.81,2,1,1,0,0
CUST2681,42,Male,Single,University,Self-employed,10,Savings,4,455806,14,9,8,0,0.57,1,0,0,1,0
CUST1326,50,Male,Married,Primary,Self-employed,161,Savings,4,179447,18,10,12,0,0.78,2,0,0,0,0
CUST2645,63,Male,Single,University,Employed,98,Savings,1,341073,9,9,10,0,0.93,0,1,0,0,0
CUST0706,34,Female,Married,Primary,Self-employed,114,Current,4,14539,15,6,8,0,0.98,0,1,0,0,0
CUST2667,48,Male,Single,Secondary,Employed,130,Current,4,25377,13,4,5,0,0.96,2,1,1,1,0
CUST2758,42,Male,Divorced,Secondary,Employed,19,Fixed Deposit,4,52149,16,4,6,1,0.79,2,1,0,0,0
CUST0712,36,Female,Single,University,Employed,157,Savings,4,227522,9,7,5,0,0.81,2,0,1,0,1
CUST1452,34,Male,Single,Secondary,Self-employed,39,Savings,3,11330,16,12,11,0,0.88,2,1,0,1,0
CUST0672,25,Male,Married,Primary,Self-employed,61,Current,3,197604,17,3,11,0,0.56,3,1,0,0,0
CUST1274,45,Male,Married,University,Self-employed,66,Savings,1,169570,12,11,10,0,0.57,1,0,1,0,0
CUST1828,45,Male,Divorced,Secondary,Employed,85,Current,3,62299,21,7,10,0,0.62,1,0,0,0,0
CUST2446,30,Female,Single,University,Self-employed,101,Savings,3,71041,15,8,8,0,0.91,1,1,0,0,0
CUST0528,23,Male,Married,None,Employed,119,Savings,1,218798,16,8,9,0,0.77,0,0,0,0,1
CUST2429,35,Male,Single,University,Employed,139,Savings,2,16847,18,8,14,0,0.78,0,1,0,0,0
CUST1569,46,Male,Married,Secondary,Employed,157,Savings,2,70087,14,9,6,1,0.8,0,1,1,1,1
CUST2088,52,Male,Divorced,Primary,Employed,129,Savings,3,62558,15,7,13,0,0.69,0,0,1,0,0
CUST1960,29,Male,Single,Secondary,Employed,80,Savings,2,172153,11,8,8,0,0.73,2,0,0,0,0
CUST2570,34,Female,Single,Primary,Employed,15,Current,2,70936,13,10,11,0,0.69,1,1,0,0,0
CUST0473,52,Female,Single,University,Employed,84,Savings,2,413938,14,5,10,0,0.76,1,1,0,0,0
CUST2248,31,Female,Single,Primary,Employed,107,Current,3,14231,11,8,13,0,0.91,0,0,0,0,0
CUST2002,25,Female,Single,University,Employed,88,Savings,2,15786,10,13,5,1,0.76,1,1,0,1,0
CUST1149,38,Male,Married,Secondary,Unemployed,40,Savings,1,15623,20,6,11,0,0.83,2,1,0,0,1
CUST2037,59,Female,Single,Primary,Employed,142,Current,1,186757,19,9,16,0,0.93,0,1,0,0,0
CUST2313,27,Male,Married,Primary,Employed,164,Savings,2,153396,12,10,8,0,0.89,0,1,1,1,1
CUST2823,30,Female,Married,Primary,Self-employed,78,Current,1,31969,15,6,13,1,0.88,2,1,0,1,0
CUST1927,34,Female,Divorced,Secondary,Employed,162,Current,1,3438,13,10,5,0,0.59,1,1,0,0,1
CUST2234,36,Female,Single,Primary,Employed,126,Savings,1,140177,13,6,11,0,0.65,0,1,0,0,0
CUST0458,31,Female,Married,University,Employed,144,Savings,2,52945,12,12,8,0,0.97,1,1,0,0,1
CUST0831,40,Female,Single,Secondary,Employed,54,Current,1,125225,26,6,13,0,0.77,2,1,1,1,0
CUST1078,28,Male,Single,Secondary,Employed,17,Savings,2,8766,15,10,9,0,0.86,2,1,0,0,1
CUST0919,34,Female,Married,Primary,Self-employed,154,Savings,3,46029,13,7,10,0,0.88,2,1,0,0,0
CUST1562,42,Female,Married,University,Employed,176,Savings,3,393049,13,15,10,0,0.58,1,1,0,0,0
CUST2283,36,Female,Married,Secondary,Employed,117,Current,3,181923,9,10,9,2,0.76,4,1,0,0,0
CUST1313,42,Male,Single,Primary,Unemployed,131,Savings,2,179373,17,7,7,0,0.55,2,0,1,0,0
CUST0185,21,Female,Single,University,Employed,5,Fixed Deposit,3,153633,16,11,9,0,0.81,2,0,0,0,1
CUST0413,27,Male,Single,Secondary,Employed,123,Savings,1,118065,18,11,11,0,0.71,3,1,0,1,0
CUST0627,33,Male,Married,University,Employed,7,Savings,4,273482,11,10,3,0,0.81,0,1,1,1,1
CUST2570,19,Female,Single,University,Employed,111,Savings,1,47288,11,6,8,0,0.59,0,1,0,0,0
CUST1333,37,Female,Single,Primary,Self-employed,86,Savings,2,13967,8,7,9,0,0.8,0,0,0,0,0
CUST2253,44,Male,Married,Secondary,Employed,14,Current,2,162770,18,8,15,0,0.68,1,1,0,0,0
CUST1899,34,Female,Married,Secondary,Employed,120,Savings,3,50154,19,7,13,0,0.81,1,1,1,1,0
CUST0779,19,Female,Married,Secondary,Employed,162,Fixed Deposit,1,90813,19,5,11,0,0.9,3,0,0,0,0
CUST1561,33,Male,Married,Secondary,Employed,151,Fixed Deposit,4,49814,17,4,9,0,0.51,1,0,0,0,0
CUST0564,22,Male,Single,Secondary,Unemployed,58,Current,2,63854,21,7,10,0,0.71,1,1,0,0,0
CUST0794,32,Female,Single,Primary,Unemployed,49,Savings,4,198994,13,7,9,0,0.52,0,1,0,0,0
CUST1415,21,Female,Married,Primary,Unemployed,99,Current,2,19402,19,5,16,0,0.58,1,1,1,0,1
CUST2457,18,Female,Single,Secondary,Unemployed,155,Fixed Deposit,1,155991,16,6,12,0,0.63,0,1,0,0,0
CUST1370,44,Male,Married,University,Employed,158,Current,1,181694,11,9,14,0,0.97,0,0,0,0,0
CUST0160,38,Female,Married,Secondary,Self-employed,108,Current,1,21462,15,6,11,1,0.98,1,1,0,0,1
CUST2516,23,Female,Single,Primary,Self-employed,152,Fixed Deposit,3,21183,12,7,14,0,0.61,0,1,0,0,0
CUST2968,21,Female,Single,Primary,Employed,89,Savings,3,172592,7,1,9,0,0.83,1,1,0,0,1
CUST2505,23,Male,Single,Secondary,Self-employed,67,Savings,1,431300,9,10,9,0,0.61,1,1,0,0,0
CUST0617,30,Male,Single,Secondary,Employed,14,Savings,1,253434,7,13,14,0,0.55,0,0,1,0,1
CUST0357,47,Female,Single,Primary,Employed,76,Savings,1,552038,17,11,6,1,0.65,2,0,0,0,1
CUST0279,39,Female,Single,Secondary,Employed,166,Fixed Deposit,3,303023,9,8,8,0,0.65,1,1,1,0,0
CUST0270,25,Male,Married,Secondary,Employed,143,Current,4,178594,14,6,14,1,0.52,1,1,0,0,0
CUST2926,45,Male,Married,University,Self-employed,125,Savings,1,176746,21,8,13,3,0.89,1,0,0,0,0
CUST2694,21,Male,Single,Secondary,Self-employed,21,Fixed Deposit,2,104639,16,5,15,0,0.75,2,1,0,0,1
CUST2395,52,Female,Married,Primary,Employed,55,Savings,4,40178,17,5,9,0,0.6,1,1,1,1,0
CUST2266,32,Female,Divorced,Primary,Self-employed,98,Savings,3,107120,18,5,9,0,0.85,3,1,1,1,0
CUST0618,49,Male,Single,Primary,Employed,168,Savings,2,706261,17,6,13,0,0.54,1,1,0,0,0
CUST1905,25,Male,Single,Secondary,Employed,15,Fixed Deposit,1,361029,13,7,9,1,0.71,1,1,1,0,0
CUST2746,35,Female,Married,University,Self-employed,79,Savings,3,300983,17,3,7,0,0.62,1,1,0,0,0
CUST0337,30,Male,Divorced,University,Employed,40,Savings,1,84822,12,12,11,0,0.69,0,1,0,1,0
CUST2845,38,Male,Married,Primary,Employed,177,Savings,1,3981,23,5,12,0,0.66,0,1,0,0,0
CUST2074,25,Male,Married,Secondary,Employed,11,Current,2,211218,25,8,11,0,0.82,4,0,0,0,0
CUST0539,23,Male,Married,Secondary,Employed,41,Savings,1,21024,19,7,13,1,0.62,0,1,0,0,1
CUST0981,26,Male,Married,University,Employed,146,Savings,4,56826,21,5,8,1,0.69,1,0,0,0,0
CUST0956,53,Female,Married,Secondary,Self-employed,92,Savings,2,108295,12,9,15,0,0.64,1,0,1,0,0
CUST1781,37,Female,Single,Primary,Self-employed,24,Current,2,161006,12,16,11,1,0.67,0,1,0,1,1
CUST1690,45,Male,Single,None,Self-employed,16,Savings,2,87766,13,3,13,1,0.97,2,0,0,0,1
CUST2772,27,Female,Single,Primary,Employed,148,Savings,1,282061,13,7,10,1,0.53,0,1,0,1,0
CUST1522,34,Female,Single,None,Self-employed,134,Current,2,87813,8,3,12,0,0.6,1,1,0,0,0
CUST2719,34,Female,Married,Primary,Employed,105,Current,3,3994,16,11,8,0,0.61,0,1,1,1,0
CUST2909,32,Female,Married,Secondary,Employed,111,Savings,2,18172,10,4,8,0,0.99,2,1,0,0,0
CUST2705,34,Female,Single,Primary,Self-employed,73,Savings,2,168453,21,9,13,0,0.95,0,0,0,0,0
